,E. pustulosus ,H. variolosus,R. horribilis,L. forreri ,i. coccifer ,T. typhonius ,S. baudinii ,C. fitzingeri ,I. leutkenii ,C. ranoides ,C. bransfordii,C. crassidigitus ,C. megacephalus ,L. vaillanti ,T. pulverata ,R. haematiticus ,T. spinosa ,L. warszewitshii ,S. sordida ,S. boulengeri ,D. ebraccatus ,L. savegei ,S. elaeochroa ,S. puma ,A. callidryas ,P. ridens ,D. rufioculis ,H. colymbiphyllum ,D. diastema,T. loquax,C. talamance,I. melanochiorus,C. stejnegerionus,C. granulisa,C. persimilis,I. psuedopuma,S. staufferi,H. fleischmanni,C. prosoblepon,C. andi,C. melanosticus,D. uranochroa,N. guanacaste,B. robusta,B. subpalmata,I. tica
Cacao (new),0,0,0,1,0,0,1,4,0,0,0,64,3,0,0,0,0,20,0,0,0,0,0,0,0,10,131,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Gerardo,0,0,3,0,0,0,10,83,0,0,5,13,40,9,15,77,5,3,7,1,1,2,1,1,1,3,0,0,0,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
Maritza,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Murcielago,1,0,17,0,0,1,4,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa rosa,15,8,31,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cacao (old),1,2,1,18,0,0,0,0,0,0,2,3,15,0,0,0,0,4,0,0,0,0,0,0,0,3,27,0,2,0,0,0,0,0,0,0,0,1,2,1,4,1,18,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bray-curtis,Cacao (new),San Gerardo,Maritza,Murcielago,Santa rosa,Cacao (old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacao (new),0,0.8975332,0.8302583,0.9852941,0.9935484,0.7586207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Gerardo,0.8975332,0,0.9685535,0.9498433,0 0.9831933,0.8632911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maritza,0.8302583,0.9685535,0,0.9047619,0.9405941,0.8848921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcielago,0.9852941,0.9498433,0.9047619,0,0.627451,0.9714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa rosa,0.9935484,0.9831933,0.9405941,0.627451,0,0.8089888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacao (old),0.7586207,0.8632911,0.8848921,0.9714286,0.8089888,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
